type;SzakmaKod;year;KorhazRovid;N;KorhazNev;SzakmaMegnev;MukodoAtlagAgy;TeljesitettApolasiNapSzam;ElbocsatottBetegSzam;KorhazNevEgyseges;IncPerDay;IncPerDayLCI;IncPerDayUCI;IncPerPatient;IncPerPatientLCI;IncPerPatientUCI
CDI;01;2015;0401;5;Békés Megyei Pándy Kálmán Kórház, Gyula;Belgyógyászat;101;25033;3693;Békés Megyei Pándy Kálmán Kórház, Gyula;19,9736348020613;6,48569272371113;46,6055927481262;13,5391280801516;4,39753332038647;31,5672912054481
CDI;01;2015;0402;20;Dr. Réthy Pál Kórház-Rendelőintézet, Békéscsaba;Belgyógyászat;110;33043;3976;Dr. Réthy Pál Kórház-Rendelőintézet, Békéscsaba;60,5271918409346;36,975377082191;93,4639365275395;50,3018108651911;30,7519129287991;77,580664509278
CDI;01;2015;0403;6;Orosházi Kórház;Belgyógyászat;83;22581;2589;Orosházi Kórház;26,5710110269696;9,75169696391762;57,8248648319566;23,1749710312862;8,5094061884364;50,373410984483
CDI;01;2015;0502;17;Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;Belgyógyászat;177;49587;6489;Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;34,2831790590276;19,9724430978272;54,8850348698983;26,1981815379874;15,2685829212955;41,9127962046609
CDI;01;2015;0504;2;Sátoraljaújhelyi Erzsébet Kórház;Belgyógyászat;70;18744;2388;Sátoraljaújhelyi Erzsébet Kórház;10,6700810926163;1,29222244347321;38,538630153608;8,37520938023451;1,01443769116304;30,2210576450806
CDI;01;2015;0509;40;Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;Belgyógyászat;173;56937;6050;Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;70,2530867449989;50,1944303796403;95,6526084829475;66,1157024793388;47,2748098700073;89,9230822644026
CDI;01;2015;0510;1;Kazincbarcikai Kórház Nonprofit Kft.;Belgyógyászat;40;13626;1992;Kazincbarcikai Kórház Nonprofit Kft.;7,33891090562161;0,185804964504701;40,8829356599283;5,02008032128514;0,1270966219556;27,9380227359906
CDI;01;2015;0561;4;Almási Balogh Pál Kórház, Ózd;Belgyógyászat;90;26115;3356;Almási Balogh Pál Kórház, Ózd;15,3168677005552;4,17348356983395;39,2125783682561;11,9189511323004;3,24843768004195;30,4888803274242
CDI;01;2015;0601;47;Dr. Bugyi István Kórház, Szentes;Belgyógyászat;53;20343;2725;Dr. Bugyi István Kórház, Szentes;231,037703386914;169,805693281578;307,114087133639;172,477064220183;126,997862448067;228,704157538522
CDI;01;2015;0602;40;Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;Belgyógyászat;57;17774;2586;Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;225,047822662316;160,824644018218;306,326495991021;154,679040989946;110,728883540343;210,038633171346
CDI;01;2015;0643;105;Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;Belgyógyászat;271;67425;11117;Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;155,728587319244;127,387679645631;188,488033427526;94,4499415309886;77,3138407389046;114,223532824077
CDI;01;2015;0701;80;Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;Belgyógyászat;158;49697;5813;Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;160,975511600298;127,663568413125;200,308507452522;137,622570101497;109,272890496973;170,994286974966
CDI;01;2015;0702;35;Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;Belgyógyászat;131;38365;5187;Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;91,2289847517268;63,5523009301934;126,854816378831;67,476383265857;47,0434662426796;93,7195065577312
CDI;01;2015;0801;37;Petz Aladár Megyei Oktató Kórház, Győr;Belgyógyászat;184;47895;6146;Petz Aladár Megyei Oktató Kórház, Győr;77,2523227894352;54,3984151843619;106,466587212352;60,2017572404816;42,4219717808666;82,8856203239792
CDI;01;2015;0802;3;Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;Belgyógyászat;60;13260;1584;Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;22,6244343891403;4,6659453253361;66,1038208314844;18,9393939393939;3,90746265393138;55,2482646698773
CDI;01;2015;0803;3;Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;Belgyógyászat;68;19017;2987;Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;15,7753588894147;3,25337641792727;46,0953028090276;10,0435219283562;2,07169478364322;29,3231093061782
CDI;01;2015;0901;33;Kenézy Gyula Kórház és Rendelőintézet, Debrecen;Belgyógyászat;41,1;14574;2437;Kenézy Gyula Kórház és Rendelőintézet, Debrecen;226,430629888843;155,914113131141;317,847175927158;135,412392285597;93,3900720843255;189,647958924026
CDI;01;2015;0902;10;Gróf Tisza István Kórház, Berettyóújfalu;Belgyógyászat;75;19028;2493;Gróf Tisza István Kórház, Berettyóújfalu;52,5541307546773;25,2045334536083;96,6276095931281;40,1123144805455;19,251660985112;73,6438635710524
CDI;01;2015;0940;114;Debreceni Egyetem Klinikai Központ;Belgyógyászat;288,9;86861;14584;Debreceni Egyetem Klinikai Központ;131,244171722637;108,272080262365;157,643509005382;78,167855183763;64,5208659308557;93,8294887091751
CDI;01;2015;1011;46;Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;Belgyógyászat;164;46573;5845;Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;98,7696734159277;72,3206073032303;131,723178741167;78,6997433704021;57,6740590968747;104,83638099432
CDI;01;2015;1035;20;Albert Schweitzer Kórház-Rendelőintézet, Hatvan;Belgyógyászat;63;14502;2105;Albert Schweitzer Kórház-Rendelőintézet, Hatvan;137,912012136257;84,2599522126364;212,913951585593;95,0118764845606;58,1295680348956;146,358432589868
CDI;01;2015;1037;28;Bugát Pál Kórház, Gyöngyös;Belgyógyászat;92;27497;3826;Bugát Pál Kórház, Gyöngyös;101,829290468051;67,6751560511516;147,13830812966;73,1834814427601;48,683379813914;105,598057733559
CDI;01;2015;1101;22;Szent Borbála Kórház, Tatabánya;Belgyógyászat;96;27403;3577;Szent Borbála Kórház, Tatabánya;80,2831806736489;50,3196652924893;121,524619397184;61,504053676265;38,5832123227434;92,9706275815034
CDI;01;2015;1102;39;Vaszary Kolos Kórház, Esztergom;Belgyógyászat;83;20299;2496;Vaszary Kolos Kórház, Esztergom;192,127691019262;136,656144482326;262,552252840583;156,25;111,338795141431;212,985289336426
CDI;01;2015;1201;11;Szent Lázár Megyei Kórház, Salgótarján;Belgyógyászat;78;19978;2721;Szent Lázár Megyei Kórház, Salgótarján;55,0605666232856;27,4891388204635;98,497156269288;40,4263138552003;20,1974173617266;72,2184576463636
CDI;01;2015;1202;1;Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;Belgyógyászat;54;9003;1714;Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;11,1074086415639;0,281214843780475;61,8708095224601;5,8343057176196;0,147710740946445;32,4633525258042
CDI;01;2015;1304;14;Jávorszky Ödön Kórház, Vác;Belgyógyászat;81;22715;3427;Jávorszky Ödön Kórház, Vác;61,633281972265;33,6994549158332;103,388573564698;40,8520571928801;22,3516480249935;68,4479076888245
CDI;01;2015;1309;84;Pest Megyei Flór Ferenc Kórház, Kistarcsa;Belgyógyászat;196;57836;7476;Pest Megyei Flór Ferenc Kórház, Kistarcsa;145,238259907324;115,863754235838;179,783754230931;112,359550561798;89,7186195424859;138,922375161098
CDI;01;2015;13B2;25;Toldy Ferenc Kórház és Rendelőintézet, Cegléd;Belgyógyászat;78;21802;3103;Toldy Ferenc Kórház és Rendelőintézet, Cegléd;114,668379047794;74,2206451606966;169,226928160798;80,5671930389945;52,2047429590302;118,704778684501
CDI;01;2015;1401;41;Somogy Megyei Kaposi Mór Oktató Kórház;Belgyógyászat;151;40325;5946;Somogy Megyei Kaposi Mór Oktató Kórház;101,673899566026;72,9725185907571;137,907116478744;68,95391860074;49,5266413416212;93,4286698287345
CDI;01;2015;1402;14;Siófoki Kórház-Rendelőintézet;Belgyógyászat;79;20497;2936;Siófoki Kórház-Rendelőintézet;68,3026784407474;37,3465809538133;114,573759725784;47,6839237057221;26,0930232075754;79,8762220565596
CDI;01;2015;1501;161;Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház;Belgyógyászat;389;127168;16145;Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház;126,604177151485;107,812863776887;147,725564486557;99,7212759368226;84,9728507683235;116,273033841074
CDI;01;2015;1503;15;Felső-Szabolcsi Kórház, Kisvárda;Belgyógyászat;93;26960;4079;Felső-Szabolcsi Kórház, Kisvárda;55,6379821958457;31,1433937790443;91,7498134528631;36,7737190487865;20,5961314734048;60,5802367152294
CDI;01;2015;1601;10;Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet;Belgyógyászat;156,9;36975;5027;Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet;27,0453008789723;12,9700104920982;49,7316281349465;19,8925800676348;9,54325789137744;36,5526362906879
CDI;01;2015;1603;7;Kátai Gábor Kórház, Karcag;Belgyógyászat;52;15256;2284;Kátai Gábor Kórház, Karcag;45,883586785527;18,4495080192051;94,5147283045998;30,6479859894921;12,3306839331771;63,043995495404
CDI;01;2015;1608;5;Jászberényi Szent Erzsébet Kórház;Belgyógyászat;75;22138;3690;Jászberényi Szent Erzsébet Kórház;22,5855994218087;7,33387631621954;52,6993170975934;13,550135501355;4,40110970295009;31,5929324730993
CDI;01;2015;1701;8;Tolna Megyei Balassa János Kórház;Belgyógyászat;112;26328;3165;Tolna Megyei Balassa János Kórház;30,3859009419629;13,1193588846044;59,8635114166175;25,2764612954186;10,9187016282444;49,743638815856
CDI;01;2015;1703;8;Dombóvári Szent Lukács Kórház;Belgyógyászat;55;13917;1971;Dombóvári Szent Lukács Kórház;57,4836530861536;24,8205239098196;113,234123332978;40,5885337392187;17,5390377838261;79,8181525759212
CDI;01;2015;1801;26;Markusovszky Egyetemi Oktatókórház, Szombathely;Belgyógyászat;194;52120;6845;Markusovszky Egyetemi Oktatókórház, Szombathely;49,8848810437452;32,5889668213598;73,0844267770206;37,9839298758218;24,8269126037377;55,6060676548215
CDI;01;2015;1901;52;Csolnoky Ferenc Kórház, Veszprém;Belgyógyászat;107;30071;3457;Csolnoky Ferenc Kórház, Veszprém;172,924079678095;129,174109607195;226,705860838507;150,419438819786;112,539082438976;196,792200507854
CDI;01;2015;1903;20;Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő, Pápa;Belgyógyászat;60;19414;2251;Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő, Pápa;103,018440300814;62,9373375188498;159,059006516993;88,8494002665482;54,3535695769256;136,888656979224
CDI;01;2015;1912;1;Magyar Imre Kórház, Ajka;Belgyógyászat;52;16327;2100;Magyar Imre Kórház, Ajka;6,12482391131255;0,155066995495209;34,1205574155382;4,76190476190476;0,120560263656681;26,5027738792809
CDI;01;2015;2001;16;Zala Megyei Kórház;Belgyógyászat;96;23819;2917;Zala Megyei Kórház;67,1732650405139;38,4000448912554;109,062313781616;54,8508741858074;31,3835430026315;88,9219399348828
CDI;01;2015;2003;0;Keszthelyi Kórház;Belgyógyászat;43;10584;1844;Keszthelyi Kórház;0;0;34,8472853326109;0;0;19,9847730704554
CDI;01;2015;2237;26;Budai Irgalmasrendi Kórház;Belgyógyászat;60;16854;2523;Budai Irgalmasrendi Kórház;154,266049602468;100,795682794232;225,954383025742;103,051922314705;67,4242772238707;150,632679989172
CDI;01;2016;0101;112;Szent Imre Kórház;Belgyógyászat;196;56137;8078;Szent Imre Kórház;199,511908367031;164,30498324067;240,015975667755;138,648180242634;114,295762812562;166,594137740712
CDI;01;2016;0106;47;Szent János Kórház és Észak-budai Egyesített Kórházak;Belgyógyászat;139;28186;4089;Szent János Kórház és Észak-budai Egyesített Kórházak;166,749450081601;122,546159086474;221,680435787162;114,942528735632;84,5743254115734;152,55906245899
CDI;01;2016;0109;82;Egyesített Szent István és Szent László Kórház-Rendelőintézet;Belgyógyászat;282,5;68300;6228;Egyesített Szent István és Szent László Kórház-Rendelőintézet;120,058565153734;95,4971766490828;149,002748282753;131,663455362877;104,849104075323;163,168938207852
CDI;01;2016;0112;84;Bajcsy-Zsilinszky Kórház és Rendelőintézet;Belgyógyászat;163;45850;6211;Bajcsy-Zsilinszky Kórház és Rendelőintézet;183,206106870229;146,157875618401;226,772147103762;135,24392207374;108,01538930467;167,171024773464
CDI;01;2016;0115;202;Jahn Ferenc Dél-pesti Kórház;Belgyógyászat;211;62326;7646;Jahn Ferenc Dél-pesti Kórház;324,102300805442;281,004708103936;371,922426147581;264,190426366728;229,402938509668;302,648234009253
CDI;01;2016;0116;53;Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;Belgyógyászat;212;58012;7494;Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;91,3604081914087;68,4424718547656;119,484846585438;70,723245262877;53,0201408004691;92,4068862342342
CDI;01;2016;0118;35;Uzsoki utcai Kórház;Belgyógyászat;124;33642;3981;Uzsoki utcai Kórház;104,036620890553;72,4756842646605;144,660341222736;87,917608641045;61,3120646452465;122,061881295471
CDI;01;2016;0119;16;Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;Belgyógyászat;67;19940;2217;Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;80,2407221664995;45,8712410339162;130,273286095457;72,169598556608;41,3057801070557;116,934988340855
CDI;01;2016;0140;90;Semmelweis Egyetem;Belgyógyászat;313,6;96716;16246;Semmelweis Egyetem;93,0559576491997;74,8344138392071;114,369372402249;55,3982518773852;44,5695758510864;68,0505924291996
CDI;01;2016;01A6;150;Magyar Honvédség Egészségügyi Központ;Belgyógyászat;294,6;83598;9172;Magyar Honvédség Egészségügyi Központ;179,430129907414;151,885103603341;210,519111870338;163,541212385521;138,584267801297;191,634057131722
CDI;01;2016;01E8;24;Szent Margit Kórház, Budapest;Belgyógyászat;91;26466;3970;Szent Margit Kórház, Budapest;90,6823849467241;58,1102851653905;134,898348664202;60,4534005037783;38,7709030064769;89,8171488720978
CDI;01;2016;0205;4;Komlói Egészségcentrum, Bányászati Utókezelő és Éjjeli Szanatórium Egészségügyi Központ;Belgyógyászat;20;6858;1135;Komlói Egészségcentrum;58,3260425780111;15,8940972339658;149,269888531082;35,2422907488987;9,61042991952259;89,9864127172967
CDI;01;2016;0207;1;Szigetvári Kórház;Belgyógyászat;25;9570;1159;Szigetvári Kórház;10,4493207941484;0,264553547488982;58,2059850603863;8,62812769628991;0,218442894378951;47,9781467440934
CDI;01;2016;0242;51;Pécsi Tudományegyetem;Belgyógyászat;238;73050;10933;Pécsi Tudományegyetem;69,8151950718686;51,986278646362;91,7839995156293;46,6477636513308;34,7514582674716;61,2881307543595
CDI;01;2016;0301;85;Bács-Kiskun Megyei Kórház, Kecskemét;Belgyógyászat;262;71523;9094;Bács-Kiskun Megyei Kórház, Kecskemét;118,842889699817;94,9381708847145;146,930416888201;93,4682208049263;74,7254027261115;115,446958140659
CDI;01;2016;0302;3;Bajai Szent Rókus Kórház;Belgyógyászat;90;31178;5103;Bajai Szent Rókus Kórház;9,62216947847842;1,98436663167942;28,1174617425561;5,87889476778366;1,21253356183681;17,17091911431
CDI;01;2016;0306;6;Kiskunhalasi Semmelweis Kórház;Belgyógyászat;107;22890;3362;Kiskunhalasi Semmelweis Kórház;26,2123197903014;9,62004739799013;57,0443874296593;17,8465199286139;6,55208572283095;38,803590241669
CDI;01;2016;0403;3;Orosházi Kórház;Belgyógyászat;83;20851;2548;Orosházi Kórház;14,3877991463239;2,96720836811728;42,0414399930901;11,7739403453689;2,42872802214248;34,3695283532026
CDI;01;2016;0468;24;Békés Megyei Központi Kórház;Belgyógyászat;204,8;57448;7457;Békés Megyei Központi Kórház;41,7769112936917;26,7690314910583;62,1543969177432;32,1845246077511;20,6317844450325;47,8504121040853
CDI;01;2016;0502;17;Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;Belgyógyászat;180,2;49918;6421;Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;34,0558515966185;19,8400002422522;54,5211363394623;26,4756268494004;15,4303579287954;42,3563096906361
CDI;01;2016;0504;0;Sátoraljaújhelyi Erzsébet Kórház;Belgyógyászat;70;18456;2284;Sátoraljaújhelyi Erzsébet Kórház;0;0;19,9854292513958;0;0;16,1379251744734
CDI;01;2016;0509;37;Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;Belgyógyászat;173;55642;5939;Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;66,4965313971461;46,8238813427056;91,6451778615222;62,3000505135545;43,9018048712579;85,7711314312404
CDI;01;2016;0510;2;Kazincbarcikai Kórház Nonprofit Kft.;Belgyógyászat;40;14023;1993;Kazincbarcikai Kórház Nonprofit Kft.;14,262283391571;1,72727535670357;51,5106746513946;10,0351229302559;1,21553107072459;36,2028300981742
CDI;01;2016;0561;3;Almási Balogh Pál Kórház, Ózd;Belgyógyászat;90;25094;3203;Almási Balogh Pál Kórház, Ózd;11,955049015701;2,46548637709312;34,9337118165606;9,36621916952857;1,93195622055262;27,3474338503262
CDI;01;2016;0601;17;Dr. Bugyi István Kórház, Szentes;Belgyógyászat;53;21012;2891;Dr. Bugyi István Kórház, Szentes;80,9061488673139;47,1376530802092;129,507082106091;58,8031822898651;34,291222196243;93,9831657699442
CDI;01;2016;0602;23;Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;Belgyógyászat;57;18152;2603;Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;126,707800793301;80,3383007866555;190,063624289284;88,3595850941222;56,0924912481991;132,289420875696
CDI;01;2016;0643;68;Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;Belgyógyászat;272;64671;10710;Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;105,147593202517;81,6601847552915;133,280862859695;63,4920634920635;49,3368143341201;80,4228387614103
CDI;01;2016;0701;88;Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;Belgyógyászat;158;50189;5855;Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;175,33722528841;140,648600503106;215,976410883465;150,298889837746;120,713966490626;184,848750167932
CDI;01;2016;0702;18;Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;Belgyógyászat;131;38514;5157;Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;46,7362517526094;27,7011421553659;73,8534082604478;34,9040139616056;20,6990475006327;55,1075033407708
CDI;01;2016;0801;42;Petz Aladár Megyei Oktató Kórház, Győr;Belgyógyászat;184;49539;6459;Petz Aladár Megyei Oktató Kórház, Győr;84,7816871555744;61,1098021852885;114,583123700417;65,0255457501161;46,9037085517471;87,7950587537712
CDI;01;2016;0802;2;Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;Belgyógyászat;58,2;13548;1537;Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;14,7623265426631;1,78783623224338;53,3163177429176;13,0123617436565;1,57624603208844;46,9253008129323
CDI;01;2016;0803;1;Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;Belgyógyászat;68;19078;3070;Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;5,24163958486215;0,132706736476925;29,2010476618403;3,25732899022801;0,0824680898650918;18,1351683954583
CDI;01;2016;0901;23;Kenézy Gyula Kórház és Rendelőintézet, Debrecen;Belgyógyászat;59,6;22545;3773;Kenézy Gyula Kórház és Rendelőintézet, Debrecen;102,018185850521;64,6814247761883;153,038286470045;60,9594487145508;38,6811445468844;91,3295105880541
CDI;01;2016;0902;7;Gróf Tisza István Kórház, Berettyóújfalu;Belgyógyászat;75;18594;2468;Gróf Tisza István Kórház, Berettyóújfalu;37,6465526513929;15,1371634704474;77,5508053743751;28,3630470016207;11,4107841502374;58,350869192081
CDI;01;2016;0940;68;Debreceni Egyetem Klinikai Központ;Belgyógyászat;298;89697;14890;Debreceni Egyetem Klinikai Központ;75,8107851990591;58,8747005935421;96,0984796814791;45,668233713902;35,4801001147203;57,8599488474719
CDI;01;2016;1011;45;Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;Belgyógyászat;164;48183;5839;Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;93,3939356204471;68,1300809555819;124,948702473721;77,0679910943655;56,2678646254964;102,988560420662
CDI;01;2016;1035;19;Albert Schweitzer Kórház-Rendelőintézet, Hatvan;Belgyógyászat;63;11826;1677;Albert Schweitzer Kórház-Rendelőintézet, Hatvan;160,662946051074;96,7564364991616;250,781889320744;113,29755515802;68,3465316354887;176,364959305899
CDI;01;2016;1037;15;Bugát Pál Kórház, Gyöngyös;Belgyógyászat;92;25827;3731;Bugát Pál Kórház, Gyöngyös;58,0787547914973;32,5097659868869;95,7740103304225;40,2036987402841;22,5186319970394;66,2233263680765
CDI;01;2016;1101;40;Szent Borbála Kórház, Tatabánya;Belgyógyászat;96;28699;3440;Szent Borbála Kórház, Tatabánya;139,377678664762;99,5915482221292;189,744989294605;116,279069767442;83,1978377785163;158,005642851252
CDI;01;2016;1102;28;Vaszary Kolos Kórház, Esztergom;Belgyógyászat;83;20095;2428;Vaszary Kolos Kórház, Esztergom;139,33814381687;92,6085328171431;201,319932443525;115,321252059308;76,7631527470616;166,242949460304
CDI;01;2016;1201;8;Szent Lázár Megyei Kórház, Salgótarján;Belgyógyászat;78;20125;2564;Szent Lázár Megyei Kórház, Salgótarján;39,7515527950311;17,1634112841588;78,3112994849601;31,201248049922;13,479811424957;61,3858528127606
CDI;01;2016;1202;1;Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;Belgyógyászat;54;8187;1593;Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;12,2144863808477;0,309243542658197;68,0357643748018;6,27746390458255;0,158930362808139;34,9256442009134
CDI;01;2016;1304;21;Jávorszky Ödön Kórház, Vác;Belgyógyászat;81;22594;3226;Jávorszky Ödön Kórház, Vác;92,9450296538904;57,5433547770295;142,041447052756;65,0960942343459;40,3393367079681;99,3350273683325
CDI;01;2016;1309;91;Pest Megyei Flór Ferenc Kórház, Kistarcsa;Belgyógyászat;196;55689;7112;Pest Megyei Flór Ferenc Kórház, Kistarcsa;163,407495196538;131,585297479577;200,590846181166;127,952755905512;103,141262041169;156,868211392796
CDI;01;2016;13B2;32;Toldy Ferenc Kórház és Rendelőintézet, Cegléd;Belgyógyászat;78;22129;3064;Toldy Ferenc Kórház és Rendelőintézet, Cegléd;144,606624790998;98,9311989430581;204,080631183988;104,43864229765;71,5425714120886;147,118897629419
CDI;01;2016;1401;26;Somogy Megyei Kaposi Mór Oktató Kórház;Belgyógyászat;134,1;36379;5112;Somogy Megyei Kaposi Mór Oktató Kórház;71,4698040078067;46,6915937203687;104,702411413628;50,8607198748044;33,250007655977;74,434534357779
