KorhazNevFactor;lci;fit;uci;type;year;formula;family
Károlyi Sándor Kórház;86,0031740300194;195,08519929342;443,522490305575;CDI;2015;"";NB
Jászberényi Szent Erzsébet Kórház;2,28614573241675;9,90287141181035;42,9382398487985;CDI;2015;"";NB
Mohácsi Kórház;4,52385820152763;15,8755486942342;55,7776246734867;CDI;2015;"";NB
Albert Schweitzer Kórház-Rendelőintézet, Hatvan;32,4014791893816;75,4550091249727;176,08482516299;CDI;2015;"";NB
Csolnoky Ferenc Kórház, Veszprém;25,6710217635765;50,3622998930856;99,0711243269522;CDI;2015;"";NB
Magyar Imre Kórház, Ajka;17,8294842243356;40,5467992252764;92,3809321821485;CDI;2015;"";NB
Gottsegen György Országos Kardiológiai Intézet;23,8613835259015;60,9251208050029;155,813257921786;CDI;2015;"";NB
Budai Irgalmasrendi Kórház;53,1179616241654;109,976229033365;228,26238859063;CDI;2015;"";NB
Tolna Megyei Balassa János Kórház;25,2810393833178;46,6579717635285;86,316847435132;CDI;2015;"";NB
Magyar Honvédség Egészségügyi Központ;107,964677525774;187,267848917712;325,91342219853;CDI;2015;"";NB
Pécsi Tudományegyetem;60,3426043414773;101,108031732828;169,925241055965;CDI;2015;"";NB
Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;55,3939977448716;94,6701395458344;162,265222557644;CDI;2015;"";NB
Bács-Kiskun Megyei Kórház, Kecskemét;48,5070564459178;85,1500646565562;149,941180565285;CDI;2015;"";NB
Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;42,6961231141702;81,6391937375639;156,495571021421;CDI;2015;"";NB
Szent Margit Kórház, Budapest;36,0468139594292;81,4388965274694;184,396634082193;CDI;2015;"";NB
Felső-Szabolcsi Kórház, Kisvárda;7,96799696645213;21,1888493190552;56,4423528603984;CDI;2015;"";NB
Almási Balogh Pál Kórház, Ózd;1,4787343161705;6,91885706296156;32,4016811617251;CDI;2015;"";NB
Országos Klinikai Idegtudományi Intézet;7,98857077071806;24,8977978014404;77,690951973787;CDI;2015;"";NB
Somogy Megyei Kaposi Mór Oktató Kórház;48,7824008050087;84,9817196828647;148,449505556656;CDI;2015;"";NB
Gálfi Béla Gyógyító és Rehabilitációs Közhasznú Nonprofit Kft., Pomáz;6,86028250149948;78,895921575215;907,607754019087;CDI;2015;"";NB
Jahn Ferenc Dél-pesti Kórház;135,597503742211;250,366509759024;463,731160763997;CDI;2015;"";NB
Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;53,6578378017625;96,4730443411679;173,946723615658;CDI;2015;"";NB
Dombóvári Szent Lukács Kórház;7,9116630553742;25,9356059542664;85,133187569861;CDI;2015;"";NB
Kenézy Gyula Kórház és Rendelőintézet, Debrecen;32,2355792873929;59,2627466599594;109,22688547465;CDI;2015;"";NB
Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;13,3659155326587;26,071202952087;50,9940154635026;CDI;2015;"";NB
Országos Korányi Tbc és Pulmonológiai Intézet;28,5461195004776;72,9553044421279;186,740342089902;CDI;2015;"";NB
Budai Egészségközpont Zrt.;4,2466443993727;21,3875550537894;107,784375517218;CDI;2015;"";NB
Mátrai Gyógyintézet;10,5058856151925;39,9603547569463;152,169420364102;CDI;2015;"";NB
Pest Megyei Flór Ferenc Kórház, Kistarcsa;62,0375610924517;118,202271423612;225,854664317512;CDI;2015;"";NB
Zala Megyei Kórház;16,1056329946942;30,6932775631448;58,6254739912601;CDI;2015;"";NB
Koch Róbert Kórház és Rendelőintézet, Edelény;0,518070452956723;3,80235870048813;27,9281854788529;CDI;2015;"";NB
Bajcsy-Zsilinszky Kórház és Rendelőintézet;64,9896509725647;127,892797340868;252,38373779557;CDI;2015;"";NB
Sátoraljaújhelyi Erzsébet Kórház;0,728482711510873;4,38190828932848;26,3751477554924;CDI;2015;"";NB
Toldy Ferenc Kórház és Rendelőintézet, Cegléd;69,2084113050298;131,023962995819;248,794223181344;CDI;2015;"";NB
Debreceni Egyetem Klinikai Központ;45,6608696256437;77,5257602214687;132,007939018616;CDI;2015;"";NB
Szent Imre Kórház;112,062185456533;135,692034344087;165,017852545463;CDI;2015;"";P
Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;68,1225358937993;80,9567553409731;96,6520702694859;CDI;2015;"";P
Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;7,40633386385649;15,6730176053844;33,207323943779;CDI;2015;"";P
Szent János Kórház és Észak-budai Egyesített Kórházak;110,25238626364;134,488367578935;164,738475805508;CDI;2015;"";P
Országos Onkológiai Intézet;39,8465545561386;63,3935021578362;101,063419281463;CDI;2015;"";P
Jávorszky Ödön Kórház, Vác;48,0129011066218;66,7871889333172;93,1709484232615;CDI;2015;"";P
Semmelweis Egyetem;66,448487858837;77,9362851341857;91,8423831050893;CDI;2015;"";P
Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;81,9934352030755;110,148690348367;148,440381268968;CDI;2015;"";P
Szigetvári Kórház;39,6990024221927;66,7452219957201;112,42909592871;CDI;2015;"";P
Orosházi Kórház;20,3277953832632;33,1687638312009;54,2299268910075;CDI;2015;"";P
Dr. Bugyi István Kórház, Szentes;95,2426222536026;125,602426238688;166,188419691734;CDI;2015;"";P
Tüdőgyógyintézet, Törökbálint;0,193827078840172;1,38452499636045;9,89253242570731;CDI;2015;"";P
Egyesített Szent István és Szent László Kórház-Rendelőintézet;97,2112613575171;111,077751434334;127,664408067755;CDI;2015;"";P
Siófoki Kórház-Rendelőintézet;24,7574642574091;39,3951798847009;62,8199351658433;CDI;2015;"";P
Kazincbarcikai Kórház Nonprofit Kft.;0,719106611426084;5,1263070602616;36,5539015065646;CDI;2015;"";P
Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;54,7422556271615;66,8387486161581;81,9500893920137;CDI;2015;"";P
Szent Lázár Megyei Kórház, Salgótarján;28,6901176459369;42,566560378768;63,3095287309622;CDI;2015;"";P
Gróf Tisza István Kórház, Berettyóújfalu;13,7760997829271;25,1727611843873;46,0710003600858;CDI;2015;"";P
Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;82,8906555477284;113,062434561931;154,685623850141;CDI;2015;"";P
Vaszary Kolos Kórház, Esztergom;75,1205628095886;100,82046111459;135,740085303097;CDI;2015;"";P
Szent Borbála Kórház, Tatabánya;46,4574658219974;61,4418262849063;81,5245223636315;CDI;2015;"";P
Bugát Pál Kórház, Gyöngyös;46,8538376222428;67,5086604778092;97,5286155918061;CDI;2015;"";P
Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;4,40361908240841;11,8234068115456;31,7716673064613;CDI;2015;"";P
Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;33,3161568327867;43,7060479411357;57,5299099024606;CDI;2015;"";P
Uzsoki utcai Kórház;66,99424639779;85,0391794927343;108,339720068954;CDI;2015;"";P
Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház;65,6459358434322;76,2708171741089;89,0524346172792;CDI;2015;"";P
Bajai Szent Rókus Kórház;6,55781145004469;13,2495860689116;26,8053612205403;CDI;2015;"";P
Petz Aladár Megyei Oktató Kórház, Győr;36,8332446106635;47,1044886289244;60,4561128930853;CDI;2015;"";P
Komlói Egészségcentrum;3,82894460008476;15,3970697664774;61,9456064542941;CDI;2015;"";P
Kiskunhalasi Semmelweis Kórház;27,0937674663206;38,3872189720755;54,5410329673423;CDI;2015;"";P
Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;6,13770587337584;12,9971722890494;27,556264381055;CDI;2015;"";P
Békés Megyei Pándy Kálmán Kórház, Gyula;9,7277504776533;14,9784237710967;23,11542922572;CDI;2015;"";P
Dr. Réthy Pál Kórház-Rendelőintézet, Békéscsaba;31,128936446664;45,3358421097264;66,1979395139263;CDI;2015;"";P
Markusovszky Egyetemi Oktatókórház, Szombathely;27,882439744316;36,33942676262;47,5235483437038;CDI;2015;"";P
Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet;8,27085631771037;13,1380697079279;20,9138899444756;CDI;2015;"";P
Kátai Gábor Kórház, Karcag;8,6287999976017;18,2756052761067;38,7546165225707;CDI;2015;"";P
Keszthelyi Kórház;2,27045242806103;9,12894502208201;36,7233205303645;CDI;2015;"";P
Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő, Pápa;38,5164259052538;60,0123373570804;93,7131892888906;CDI;2015;"";P
Károlyi Sándor Kórház;132,382050092158;173,359892276968;227,797133475772;CDI;2015;"";P
Jászberényi Szent Erzsébet Kórház;5,33996724119612;12,9388643965611;31,3819676427205;CDI;2015;"";P
Mohácsi Kórház;5,07447133645807;13,6236244350706;36,606490649864;CDI;2015;"";P
Albert Schweitzer Kórház-Rendelőintézet, Hatvan;57,2905440761357;84,4530590305666;124,807255405664;CDI;2015;"";P
Csolnoky Ferenc Kórház, Veszprém;65,3479751659169;84,3199342112431;109,180626999536;CDI;2015;"";P
Magyar Imre Kórház, Ajka;47,1133196502363;63,4166664462591;85,6389270851162;CDI;2015;"";P
Gottsegen György Országos Kardiológiai Intézet;38,0662732901078;59,0182326211368;91,7071155964019;CDI;2015;"";P
Budai Irgalmasrendi Kórház;74,9306284492624;102,545271724858;140,757249724267;CDI;2015;"";P
Tolna Megyei Balassa János Kórház;25,4775941865048;34,8612727338555;47,8448840274391;CDI;2015;"";P
Magyar Honvédség Egészségügyi Központ;131,648128997758;153,680347384376;180,281400255159;CDI;2015;"";P
Pécsi Tudományegyetem;70,8779302511382;83,113790946965;97,9264041466864;CDI;2015;"";P
Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;75,8760536646615;89,9034420161006;107,013584357632;CDI;2015;"";P
Bács-Kiskun Megyei Kórház, Kecskemét;63,2632158144347;76,0820497655674;91,8949325961291;CDI;2015;"";P
Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;85,3302647455606;104,455269858495;128,407662171944;CDI;2015;"";P
Szent Margit Kórház, Budapest;35,6566266935387;52,2400627173861;76,7314850943803;CDI;2015;"";P
Felső-Szabolcsi Kórház, Kisvárda;17,76266606385;28,9847986726379;47,3915716502835;CDI;2015;"";P
Almási Balogh Pál Kórház, Ózd;3,26349222273204;8,76285763942223;23,5488798347116;CDI;2015;"";P
Országos Klinikai Idegtudományi Intézet;8,24539278106212;18,5510298281835;41,783392544732;CDI;2015;"";P
Somogy Megyei Kaposi Mór Oktató Kórház;74,7837902503768;89,8689922079829;108,472846312574;CDI;2015;"";P
Gálfi Béla Gyógyító és Rehabilitációs Közhasznú Nonprofit Kft., Pomáz;10,0000618509616;72,2747108033804;522,500722046648;CDI;2015;"";P
Jahn Ferenc Dél-pesti Kórház;178,804110300701;209,162484012486;245,884305461806;CDI;2015;"";P
Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;69,460299884307;85,7801675488571;106,364470743212;CDI;2015;"";P
Dombóvári Szent Lukács Kórház;16,8928139244232;32,8229061469024;63,8663277758135;CDI;2015;"";P
Kenézy Gyula Kórház és Rendelőintézet, Debrecen;54,9812840903703;71,8146503018776;94,1212239195305;CDI;2015;"";P
Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;22,1823546591295;29,7772170830975;40,0975610063622;CDI;2015;"";P
Országos Korányi Tbc és Pulmonológiai Intézet;37,4163452371368;49,1112915445237;64,692711273096;CDI;2015;"";P
Budai Egészségközpont Zrt.;7,08888339664587;22,2116663295095;69,642906048881;CDI;2015;"";P
Mátrai Gyógyintézet;17,6041713149042;32,3745136250755;59,6349808298199;CDI;2015;"";P
Pest Megyei Flór Ferenc Kórház, Kistarcsa;81,9056168134417;101,279236354042;125,739653535338;CDI;2015;"";P
Zala Megyei Kórház;19,5401538605873;27,6752088057591;39,3052209083466;CDI;2015;"";P
Koch Róbert Kórház és Rendelőintézet, Edelény;0,768353291826076;3,09965747624088;12,510799665774;CDI;2015;"";P
Bajcsy-Zsilinszky Kórház és Rendelőintézet;129,862350918689;156,914171482873;190,429701757222;CDI;2015;"";P
Sátoraljaújhelyi Erzsébet Kórház;1,30312408399091;5,23954206899807;21,0772264567584;CDI;2015;"";P
Toldy Ferenc Kórház és Rendelőintézet, Cegléd;84,8960193696465;110,383819309177;144,018639284874;CDI;2015;"";P
Debreceni Egyetem Klinikai Központ;62,020415510393;73,1401761546533;86,6551361045589;CDI;2015;"";P
Szent Imre Kórház;96,5332224718573;135,692034344087;193,653392426065;CDI;2015;"";QP
Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;59,5622893122615;80,9567553409731;111,825164771625;CDI;2015;"";QP
Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;4,1020255887462;15,6730176053844;60,1297269086744;CDI;2015;"";QP
Szent János Kórház és Észak-budai Egyesített Kórházak;94,415593690797;134,488367578935;194,396382719243;CDI;2015;"";QP
Országos Onkológiai Intézet;27,6482228089002;63,3935021578362;146,383928990913;CDI;2015;"";QP
Jávorszky Ödön Kórház, Vác;37,0498999524294;66,7871889333172;121,602558506408;CDI;2015;"";QP
Semmelweis Egyetem;58,7059555073782;77,9362851341857;105,198136571068;CDI;2015;"";QP
Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;65,0423585653394;110,148690348367;188,598664652707;CDI;2015;"";QP
Szigetvári Kórház;26,3699665052731;66,7452219957201;170,027023959725;CDI;2015;"";QP
Orosházi Kórház;13,8260464135199;33,1687638312009;80,1189519274878;CDI;2015;"";QP
Dr. Bugyi István Kórház, Szentes;76,6673311334942;125,602426238688;208,158104543745;CDI;2015;"";QP
Tüdőgyógyintézet, Törökbálint;0,0410949059590111;1,38452499636045;46,6877845130684;CDI;2015;"";QP
Egyesített Szent István és Szent László Kórház-Rendelőintézet;87,72845770607;111,077751434334;143,529454100685;CDI;2015;"";QP
Siófoki Kórház-Rendelőintézet;17,1764182567721;39,3951798847009;91,0112815676601;CDI;2015;"";QP
Kazincbarcikai Kórház Nonprofit Kft.;0,152705806089358;5,1263070602616;172,240445839903;CDI;2015;"";QP
Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;46,8442556873147;66,8387486161581;96,7759508695369;CDI;2015;"";QP
Szent Lázár Megyei Kórház, Salgótarján;21,0376720626565;42,566560378768;86,8578135724197;CDI;2015;"";QP
Gróf Tisza István Kórház, Berettyóújfalu;8,5679345308276;25,1727611843873;74,3581426914164;CDI;2015;"";QP
Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;64,9660179360912;113,062434561931;198,852759145948;CDI;2015;"";QP
Vaszary Kolos Kórház, Esztergom;59,6346849092118;100,82046111459;172,331075259182;CDI;2015;"";QP
Szent Borbála Kórház, Tatabánya;37,3114578221659;61,4418262849063;102,335077009957;CDI;2015;"";QP
Bugát Pál Kórház, Gyöngyös;35,1630852373277;67,5086604778092;130,807741171842;CDI;2015;"";QP
Karolina Kórház és Rendelőintézet, Mosonmagyaróvár;2,02102282665011;11,8234068115456;69,3617538310607;CDI;2015;"";QP
Péterfy Sándor utcai Kórház-Rendelőintézet és Baleseti Központ;26,9306153603633;43,7060479411357;71,7706878366722;CDI;2015;"";QP
Uzsoki utcai Kórház;55,58491083834;85,0391794927343;131,776610654299;CDI;2015;"";QP
Szabolcs-Szatmár-Bereg Megyei Kórházak és Egyetemi Oktatókórház;58,4363765910505;76,2708171741089;101,286495610581;CDI;2015;"";QP
Bajai Szent Rókus Kórház;3,76733960397198;13,2495860689116;46,8063893874581;CDI;2015;"";QP
Petz Aladár Megyei Oktató Kórház, Győr;30,3803658069331;47,1044886289244;73,9554398147373;CDI;2015;"";QP
Komlói Egészségcentrum;1,27752034193808;15,3970697664774;185,868462479149;CDI;2015;"";QP
Kiskunhalasi Semmelweis Kórház;20,6060277629201;38,3872189720755;72,2098171405341;CDI;2015;"";QP
Soproni Erzsébet Oktató Kórház és Rehabilitációs Intézet;3,39756748000579;12,9971722890494;49,9230440470781;CDI;2015;"";QP
Békés Megyei Pándy Kálmán Kórház, Gyula;6,92675839392624;14,9784237710967;32,6420471907386;CDI;2015;"";QP
Dr. Réthy Pál Kórház-Rendelőintézet, Békéscsaba;23,1640041085515;45,3358421097264;89,5270787796355;CDI;2015;"";QP
Markusovszky Egyetemi Oktatókórház, Szombathely;22,6551071221992;36,33942676262;58,9887630760585;CDI;2015;"";QP
Jász-Nagykun-Szolnok Megyei Hetényi Géza Kórház-Rendelőintézet;5,74611808535279;13,1380697079279;30,2584935399438;CDI;2015;"";QP
Kátai Gábor Kórház, Karcag;4,77586170063199;18,2756052761067;70,2212120351424;CDI;2015;"";QP
Keszthelyi Kórház;0,757601874063307;9,12894502208201;110,178450880356;CDI;2015;"";QP
Gróf Esterházy Kórház és Rendelőintézeti Szakrendelő, Pápa;27,1709703910386;60,0123373570804;133,563455232415;CDI;2015;"";QP
Károlyi Sándor Kórház;107,160111580557;173,359892276968;283,807634933105;CDI;2015;"";QP
Jászberényi Szent Erzsébet Kórház;2,65762930961615;12,9388643965611;63,1997835656258;CDI;2015;"";QP
Mohácsi Kórház;2,32903545196985;13,6236244350706;79,9120637773733;CDI;2015;"";QP
Albert Schweitzer Kórház-Rendelőintézet, Hatvan;42,2253043602179;84,4530590305666;170,381995807747;CDI;2015;"";QP
Csolnoky Ferenc Kórház, Veszprém;53,5196177616664;84,3199342112431;134,477472023834;CDI;2015;"";QP
Magyar Imre Kórház, Ajka;37,3170077503549;63,4166664462591;108,990590861045;CDI;2015;"";QP
Gottsegen György Országos Kardiológiai Intézet;26,9584343030901;59,0182326211368;130,199987820993;CDI;2015;"";QP
Budai Irgalmasrendi Kórház;58,5724901159896;102,545271724858;181,403757638843;CDI;2015;"";QP
Tolna Megyei Balassa János Kórház;19,9181789743684;34,8612727338555;61,6566181062426;CDI;2015;"";QP
Magyar Honvédség Egészségügyi Központ;116,756584402991;153,680347384376;205,790868668223;CDI;2015;"";QP
Pécsi Tudományegyetem;62,6309971685171;83,113790946965;112,154565087604;CDI;2015;"";QP
Fejér Megyei Szent György Egyetemi Oktató Kórház, Székesfehérvár;66,4953848863342;89,9034420161006;123,526895767266;CDI;2015;"";QP
Bács-Kiskun Megyei Kórház, Kecskemét;54,7888234246009;76,0820497655674;107,269297143224;CDI;2015;"";QP
Szent Pantaleon Kórház-Rendelőintézet Dunaújváros;72,8730733247789;104,455269858495;151,954260494607;CDI;2015;"";QP
Szent Margit Kórház, Budapest;26,4083329323;52,2400627173861;104,252065336348;CDI;2015;"";QP
Felső-Szabolcsi Kórház, Kisvárda;12,0808420263185;28,9847986726379;70,0181427803757;CDI;2015;"";QP
Almási Balogh Pál Kórház, Ózd;1,49767956340921;8,76285763942223;51,4124065967962;CDI;2015;"";QP
Országos Klinikai Idegtudományi Intézet;4,35104378186303;18,5510298281835;79,3855581176151;CDI;2015;"";QP
Somogy Megyei Kaposi Mór Oktató Kórház;64,8075174564271;89,8689922079829;126,560259942959;CDI;2015;"";QP
Gálfi Béla Gyógyító és Rehabilitációs Közhasznú Nonprofit Kft., Pomáz;2,1006443875264;72,2747108033804;2488,84914626276;CDI;2015;"";QP
Jahn Ferenc Dél-pesti Kórház;158,321449401887;209,162484012486;281,15009594825;CDI;2015;"";QP
Markhot Ferenc Oktatókórház és Rendelőintézet, Eger;58,9046270514129;85,7801675488571;126,702729992527;CDI;2015;"";QP
Dombóvári Szent Lukács Kórház;10,008819363942;32,8229061469024;108,158173449877;CDI;2015;"";QP
Kenézy Gyula Kórház és Rendelőintézet, Debrecen;44,5961775076536;71,8146503018776;117,025548459999;CDI;2015;"";QP
Borsod-Abaúj-Zemplén Megyei Kórház és Egyetemi Oktató Kórház;17,606464083052;29,7772170830975;50,9120357525701;CDI;2015;"";QP
Országos Korányi Tbc és Pulmonológiai Intézet;30,236215903938;49,1112915445237;80,7665992587356;CDI;2015;"";QP
Budai Egészségközpont Zrt.;2,87999441690681;22,2116663295095;171,685141042615;CDI;2015;"";QP
Mátrai Gyógyintézet;10,8938913333856;32,3745136250755;96,7437018513355;CDI;2015;"";QP
Pest Megyei Flór Ferenc Kórház, Kistarcsa;69,3877882462429;101,279236354042;149,923246672947;CDI;2015;"";QP
Zala Megyei Kórház;14,864766326374;27,6752088057591;52,0197356189509;CDI;2015;"";QP
Koch Róbert Kórház és Rendelőintézet, Edelény;0,255713378683843;3,09965747624088;37,6346621840279;CDI;2015;"";QP
Bajcsy-Zsilinszky Kórház és Rendelőintézet;112,054103004069;156,914171482873;223,118850810382;CDI;2015;"";QP
Sátoraljaújhelyi Erzsébet Kórház;0,434825077428657;5,23954206899807;63,2363277949501;CDI;2015;"";QP
Toldy Ferenc Kórház és Rendelőintézet, Cegléd;69,1099625851258;110,383819309177;178,439198547017;CDI;2015;"";QP
Debreceni Egyetem Klinikai Központ;54,5573619078533;73,1401761546533;99,6664083122229;CDI;2015;"";QP
Szent Imre Kórház;61,8476059697159;125,054321697156;255,239595241552;CDI;2015;CMI;NB
Szegedi Tudományegyetem Szent-Györgyi Albert Klinikai Központ;87,0771481262228;153,790735737768;276,805638750922;CDI;2015;CMI;NB
Dr. Kenessey Albert Kórház-Rendelőintézet, Balassagyarmat;6,5710679704198;17,7312764181938;48,1530169245792;CDI;2015;CMI;NB
Szent János Kórház és Észak-budai Egyesített Kórházak;101,356624467654;188,090558995817;353,771951268167;CDI;2015;CMI;NB
Országos Onkológiai Intézet;43,2447804988364;111,775527301503;289,899161527126;CDI;2015;CMI;NB
Jávorszky Ödön Kórház, Vác;42,6408001309736;87,7654981819378;182,523108305711;CDI;2015;CMI;NB
Semmelweis Egyetem;44,288330033683;79,0449921089034;143,4921067494;CDI;2015;CMI;NB
Nyírő Gyula Kórház-Országos Pszichiátriai és Addiktológiai Intézet;43,1928690216838;104,512515154597;254,530143662641;CDI;2015;CMI;NB
Szigetvári Kórház;43,9364992846102;104,003770315458;247,47859500291;CDI;2015;CMI;NB
Orosházi Kórház;20,8161528972745;48,6614523982421;114,607880418458;CDI;2015;CMI;NB
Dr. Bugyi István Kórház, Szentes;50,5409601621405;105,242127328346;221,545589447568;CDI;2015;CMI;NB
Tüdőgyógyintézet, Törökbálint;0,157645315236652;1,75978962622002;19,6744474730478;CDI;2015;CMI;NB
Egyesített Szent István és Szent László Kórház-Rendelőintézet;86,2992096000225;161,666631807749;307,325325935457;CDI;2015;CMI;NB
Siófoki Kórház-Rendelőintézet;11,6636092531582;29,370833011826;74,3768196690998;CDI;2015;CMI;NB
Kazincbarcikai Kórház Nonprofit Kft.;0,419902238021784;4,74786200911822;53,7495091216751;CDI;2015;CMI;NB
Miskolci Semmelweis Kórház és Egyetemi Oktatókórház;34,8663840992789;65,6876971030922;125,179206392517;CDI;2015;CMI;NB
Szent Lázár Megyei Kórház, Salgótarján;24,0118263188458;50,9541375064513;109,216426119477;CDI;2015;CMI;NB
Gróf Tisza István Kórház, Berettyóújfalu;5,92056049975976;17,7283652017382;53,346106057825;CDI;2015;CMI;NB
Csongrád Megyei Egészségügyi Ellátó Központ Hódmezővásárhely - Makó;31,477193064579;74,3336510914655;176,827486732736;CDI;2015;CMI;NB
Vaszary Kolos Kórház, Esztergom;34,4209524383592;73,0760225249305;156,390391455378;CDI;2015;CMI;NB
